Regular Season ,,,,,,,,,,,,Playoffs,,,,,,,,
Season,FG%,3P%,FT%,TRB,AST,STL,BLK,PTS,,,,Season,FG%,3P%,FT%,RB,AST,STL,BLK,PTS
2003-04,41.70%,29.00%,75.40%,5.5,5.9,1.6,0.7,20.9,,,,2005-06,47.60%,33.30%,73.70%,8.1,5.8,1.4,0.7,30.8
2004-05,47.20%,35.10%,75.00%,7.4,7.2,2.2,0.7,27.2,,,,2006-07,41.60%,28.00%,75.50%,8.1,8,1.7,0.5,25.1
2005-06,48.00%,33.50%,73.80%,7,6.6,1.6,0.8,31.4,,,,2007-08,41.10%,25.70%,73.10%,7.8,7.6,1.8,1.3,28.2
2006-07,47.60%,31.90%,69.80%,6.7,6,1.6,0.7,27.3,,,,2008-09,51.00%,33.30%,74.90%,9.1,7.3,1.6,0.9,35.3
2007-08,48.40%,31.50%,71.20%,7.9,7.2,1.8,1.1,30,,,,2009-10,50.20%,40.00%,73.30%,9.3,7.6,1.7,1.8,29.1
2008-09,48.90%,34.40%,78.00%,7.6,7.2,1.7,1.1,28.4,,,,2010-11,46.60%,35.30%,76.30%,8.4,5.9,1.7,1.2,23.7
2009-10,50.30%,33.30%,76.70%,7.3,8.6,1.6,1,29.7,,,,2011-12,50.00%,25.90%,73.90%,9.7,5.6,1.9,0.7,30.3
2010-11,51.00%,33.00%,75.90%,7.5,7,1.6,0.6,26.7,,,,2012-13,49.10%,37.50%,77.70%,8.4,6.6,1.8,0.8,25.9
2011-12,53.10%,36.20%,77.10%,7.9,6.2,1.9,0.8,27.1,,,,2013-14,56.50%,40.70%,80.60%,7.1,4.8,1.8,0.6,27.4
2012-13,56.50%,40.60%,75.30%,8,7.3,1.7,0.9,26.8,,,,2014-15,41.70%,22.70%,73.10%,11.3,8.5,1.7,1.1,30.1
2013-14,56.70%,37.90%,75.00%,6.9,6.3,1.6,0.3,27.1,,,,2015-16,52.50%,34.00%,66.10%,9.5,7.6,2.3,1.3,26.3
2014-15,48.80%,35.40%,71.00%,6,7.4,1.6,0.7,25.3,,,,2016-17,56.50%,41.10%,69.80%,9.1,7.8,1.9,1.3,32.8
2015-16,52.00%,30.90%,73.10%,7.4,6.8,1.4,0.6,25.3,,,,2017-18,53.90%,34.20%,74.60%,9.1,9,1.4,1,34
2016-17,54.80%,36.30%,67.40%,8.6,8.7,1.2,0.6,26.4,,,,2019-20,56.00%,37.00%,72.00%,10.8,8.8,1.2,0.9,27.6
2017-18,54.20%,36.70%,73.10%,8.6,9.1,1.4,0.9,27.5,,,,2020-21,47.40%,37.50%,60.90%,7.2,8,1.5,0.3,23.3
2018-19,51.00%,33.90%,66.50%,8.5,8.3,1.3,0.6,27.4,,,,2022-23,49.80%,26.40%,76.10%,9.9,6.5,1.1,1.1,24.5
2019-20,49.30%,34.80%,69.30%,7.8,10.2,1.2,0.5,25.3,,,,2023-24,56.60%,38.50%,73.90%,6.8,8.8,2.4,1,27.8
2020-21,51.30%,36.50%,69.80%,7.7,7.8,1.1,0.6,25,,,,Career,49.70%,33.20%,74.10%,9,7.2,1.7,1,28.4
2021-22,52.40%,35.90%,75.60%,8.2,6.2,1.3,1.1,30.3,,,,,,,,,,,,
2022-23,50.00%,32.10%,76.80%,8.3,6.8,0.9,0.6,28.9,,,,,,,,,,,,
2023-24,54.00%,41.00%,75.00%,7.3,8.3,1.3,0.5,25.7,,,,,,,,,,,,
Career,50.60%,34.80%,73.60%,7.5,7.4,1.5,0.7,27.1,,,,,,,,,,,,